Model,MAE,RMSE,R²,MAPE (%),Indicator,Forecast 2020
Linear Regression | Life Satisfaction Mean,0.02222222222222185,0.0235702260395515,0.75,0.2858252858252811,Life Satisfaction Mean,7.667
Linear Regression | Life Worthwhile Mean,0.0,0.0,1.0,0.0,Life Worthwhile Mean,8.1
Linear Regression | Financial Inadequacy (%),0.04444444444455561,0.0471404520791566,0.997252747252741,0.4005984907634287,Financial Inadequacy (%),8.933
Linear Regression | Health Excellent (%),0.02222222222205043,0.023570226039444732,0.9998718605843169,0.11756355488086465,Health Excellent (%),13.967
Linear Regression | Loneliness None (%),0.9999999999999835,1.0606601717798196,0.5547493403693937,1.6316371563561667,Loneliness None (%),58.8
Linear Regression | Generalised Trust Low (%),0.26666666666666633,0.28284271247461884,0.6756756756756759,3.003956345171133,Generalised Trust Low (%),10.0
Linear Regression | Job Very Satisfied (%),1.2888888888888086,1.3670731102939928,0.8683469004383217,3.982874720439263,Job Very Satisfied (%),23.667
Linear Regression | Housing Problems (%),0.2888888888889068,0.30641293851418416,0.5898058252426834,1.355298932990471,Housing Problems (%),22.333
Linear Regression | Cultural Belonging (%),0.20000000000009047,0.21213203435601752,0.9514388489208391,0.39053904412208335,Cultural Belonging (%),49.0
Linear Regression | Feel Safe Home (%),0.3111111111111029,0.3299831645537202,0.6048387096774223,0.5096340609168414,Feel Safe Home (%),62.167
XGBoost (GBM) | Life Satisfaction Mean,0.00022905667588150416,0.00024295129318758173,0.9999734386011123,0.0029556930370989473,Life Satisfaction Mean,7.7
XGBoost (GBM) | Life Worthwhile Mean,0.0,0.0,1.0,0.0,Life Worthwhile Mean,8.1
XGBoost (GBM) | Financial Inadequacy (%),0.003893963489974913,0.0046352152521228285,0.9999734386011124,0.03551250178959991,Financial Inadequacy (%),10.006
XGBoost (GBM) | Health Excellent (%),0.00881868202141689,0.010731189147082635,0.9999734386011124,0.04717159515269947,Health Excellent (%),16.513
XGBoost (GBM) | Loneliness None (%),0.007558870304068914,0.008192179269845794,0.9999734386011124,0.012166542617309923,Loneliness None (%),61.004
XGBoost (GBM) | Generalised Trust Low (%),0.0024050950967501685,0.0025596507038283564,0.9999734386011124,0.026311626113212853,Generalised Trust Low (%),9.696
XGBoost (GBM) | Job Very Satisfied (%),0.01809547739459087,0.01941787355870921,0.9999734386011124,0.05930705129754988,Job Very Satisfied (%),27.027
XGBoost (GBM) | Housing Problems (%),0.002290566758810305,0.0024656863301561467,0.9999734386011124,0.010618000512679714,Housing Problems (%),22.097
XGBoost (GBM) | Cultural Belonging (%),0.004466605179677193,0.004961205797904289,0.9999734386011124,0.008671724562711411,Cultural Belonging (%),50.305
XGBoost (GBM) | Feel Safe Home (%),0.002519623434691217,0.0027053911042217585,0.9999734386011124,0.0041082308287766715,Feel Safe Home (%),61.896
LSTM | Life Satisfaction Mean,0.0443595522654577,0.04714103066401601,-2.4547429571253332e-05,0.5724263214307069,Life Satisfaction Mean,7.767
LSTM | Life Worthwhile Mean,0.00019277477456469683,0.0001927764233322772,0.0,0.0023799354884530477,Life Worthwhile Mean,8.1
LSTM | Financial Inadequacy (%),0.7537735287740427,0.8993949137810527,-2.7595936407998067e-05,6.8778790398068,Financial Inadequacy (%),11.139
LSTM | Health Excellent (%),1.7069951238388252,2.082227671416567,-2.68754617043232e-05,9.137156569945235,Health Excellent (%),19.079
